summary_level	depth_percent	n_observations	mean_flagstat_mapped	mean_idxstats_mapped	exact_concordance_count	exact_concordance_pct	max_absolute_discrepancy	max_percentage_discrepancy
depth	10	3	9291613.0	9291613.0	3	100.0	0	0.0
depth	20	3	18585336.67	18585336.67	3	100.0	0	0.0
depth	30	3	27878534.67	27878534.67	3	100.0	0	0.0
depth	40	3	37174918.0	37174918.0	3	100.0	0	0.0
depth	50	3	46469421.33	46469421.33	3	100.0	0	0.0
depth	60	3	55763827.67	55763827.67	3	100.0	0	0.0
depth	70	3	65057337.33	65057337.33	3	100.0	0	0.0
depth	80	3	74350424.0	74350424.0	3	100.0	0	0.0
depth	90	3	83645806.33	83645806.33	3	100.0	0	0.0
overall	NA	27	46468579.89	46468579.89	27	100.0	0	0.0
