sample	depth_fraction	depth_percent	downsampled_bam	flagstat_total	flagstat_mapped	idxstats_total	idxstats_mapped	mapped_diff	mapped_diff_pct
SRR10353673	0.1	10	data/downsampled/SRR10353673_10pct.bam	9148197	9061436	9148197	9061436	0	0.0
SRR10353673	0.2	20	data/downsampled/SRR10353673_20pct.bam	18299017	18125997	18299017	18125997	0	0.0
SRR10353673	0.3	30	data/downsampled/SRR10353673_30pct.bam	27447809	27188494	27447809	27188494	0	0.0
SRR10353673	0.4	40	data/downsampled/SRR10353673_40pct.bam	36598168	36251995	36598168	36251995	0	0.0
SRR10353673	0.5	50	data/downsampled/SRR10353673_50pct.bam	45753304	45320581	45753304	45320581	0	0.0
SRR10353673	0.6	60	data/downsampled/SRR10353673_60pct.bam	54903478	54383452	54903478	54383452	0	0.0
SRR10353673	0.7	70	data/downsampled/SRR10353673_70pct.bam	64048671	63442580	64048671	63442580	0	0.0
SRR10353673	0.8	80	data/downsampled/SRR10353673_80pct.bam	73197710	72504380	73197710	72504380	0	0.0
SRR10353673	0.9	90	data/downsampled/SRR10353673_90pct.bam	82346464	81566126	82346464	81566126	0	0.0
SRR10353687	0.1	10	data/downsampled/SRR10353687_10pct.bam	9911325	9760938	9911325	9760938	0	0.0
SRR10353687	0.2	20	data/downsampled/SRR10353687_20pct.bam	19817109	19516807	19817109	19516807	0	0.0
SRR10353687	0.3	30	data/downsampled/SRR10353687_30pct.bam	29725349	29275520	29725349	29275520	0	0.0
SRR10353687	0.4	40	data/downsampled/SRR10353687_40pct.bam	39640826	39041027	39640826	39041027	0	0.0
SRR10353687	0.5	50	data/downsampled/SRR10353687_50pct.bam	49557058	48807233	49557058	48807233	0	0.0
SRR10353687	0.6	60	data/downsampled/SRR10353687_60pct.bam	59478054	58577619	59478054	58577619	0	0.0
SRR10353687	0.7	70	data/downsampled/SRR10353687_70pct.bam	69391299	68342084	69391299	68342084	0	0.0
SRR10353687	0.8	80	data/downsampled/SRR10353687_80pct.bam	79301580	78102406	79301580	78102406	0	0.0
SRR10353687	0.9	90	data/downsampled/SRR10353687_90pct.bam	89222063	87872542	89222063	87872542	0	0.0
SRR10353710	0.1	10	data/downsampled/SRR10353710_10pct.bam	9168423	9052465	9168423	9052465	0	0.0
SRR10353710	0.2	20	data/downsampled/SRR10353710_20pct.bam	18345818	18113206	18345818	18113206	0	0.0
SRR10353710	0.3	30	data/downsampled/SRR10353710_30pct.bam	27520604	27171590	27520604	27171590	0	0.0
SRR10353710	0.4	40	data/downsampled/SRR10353710_40pct.bam	36696862	36231732	36696862	36231732	0	0.0
SRR10353710	0.5	50	data/downsampled/SRR10353710_50pct.bam	45861872	45280450	45861872	45280450	0	0.0
SRR10353710	0.6	60	data/downsampled/SRR10353710_60pct.bam	55028042	54330412	55028042	54330412	0	0.0
SRR10353710	0.7	70	data/downsampled/SRR10353710_70pct.bam	64200830	63387348	64200830	63387348	0	0.0
SRR10353710	0.8	80	data/downsampled/SRR10353710_80pct.bam	73373748	72444486	73373748	72444486	0	0.0
SRR10353710	0.9	90	data/downsampled/SRR10353710_90pct.bam	82544755	81498751	82544755	81498751	0	0.0
